Region,Confirmed,Deaths,Recovered
126,Papua New Guinea,8,0,0
279,Canada,27,0,0
135,Rwanda,225,0,98
272,Canada,5,0,0
271,Australia,28,0,25
178,Yemen,6,0,1
267,Mainland China,75,0,75
90,Laos,19,0,7
260,France,18,0,17
259,Canada,118,0,0
184,UK,3,0,3
192,Netherlands,5,0,0
29,Cambodia,122,0,119
244,Macau,45,0,34
204,US,49,0,0
237,Mainland China,653,0,648
206,UK,13,0,11
51,Eritrea,39,0,19
207,Denmark,187,0,181
210,France,58,0,50
55,Fiji,18,0,12
214,UK,141,0,131
70,Holy See,10,0,2
215,Canada,13,0,0
217,Denmark,11,0,11
45,Dominica,16,0,13
177,Western Sahara,6,0,5
31,Central African Republic,50,0,10
281,Mainland China,18,0,18
318,Canada,11,0,0
136,Saint Kitts and Nevis,15,0,4
137,Saint Lucia,17,0,15
138,Saint Vincent and the Grenadines,16,0,8
140,Sao Tome and Principe,8,0,4
144,Seychelles,11,0,6
305,Mainland China,1,0,1
115,Nepal,57,0,16
114,Namibia,16,0,8
113,Mozambique,76,0,12
152,South Sudan,34,0,0
99,Madagascar,128,0,90
294,Mainland China,197,0,164
286,France,420,0,300
175,Vietnam,270,0,222
284,Canada,0,0,20327
285,US,0,0,120720
169,Uganda,81,0,52
110,Mongolia,38,0,10
288,France,6,0,6
18,Bhutan,7,0,5
64,Grenada,20,0,13
163,Timor-Leste,24,0,6
289,France,1,0,0
203,Canada,0,1,0
209,France,125,1,93
201,Netherlands,16,1,13
211,Mainland China,355,1,353
95,Liechtenstein,82,1,55
102,Maldives,278,1,17
196,UK,73,1,10
67,Guinea-Bissau,205,1,19
156,Suriname,10,1,8
105,Mauritania,8,1,6
194,UK,6,1,3
320,Mainland China,1268,1,1263
53,Eswatini,91,1,10
28,Cabo Verde,114,1,2
239,Mainland China,111,1,99
238,Mainland China,937,1,936
50,Equatorial Guinea,315,1,9
234,Mainland China,200,1,150
27,Burundi,11,1,4
23,Brunei,138,1,124
256,UK,11,1,2
17,Benin,64,1,33
59,Gambia,10,1,8
306,UK,12,1,5
21,Botswana,23,1,5
270,US,14,2,0
16,Belize,18,2,9
319,Mainland China,185,2,181
98,MS Zaandam,9,2,0
176,West Bank and Gaza,344,2,71
4,Angola,27,2,7
32,Chad,52,2,19
221,Mainland China,254,2,252
94,Libya,61,2,18
222,Mainland China,147,2,145
188,Netherlands,100,2,73
212,Mainland China,139,2,137
44,Djibouti,1077,2,599
242,Mainland China,146,2,143
58,Gabon,276,3,67
295,Mainland China,561,3,558
291,Mainland China,306,3,253
159,Syria,43,3,21
216,US,103,3,0
300,France,38,3,24
100,Malawi,36,3,7
118,Nicaragua,13,3,7
5,Antigua and Barbuda,24,3,11
317,Mainland China,76,3,73
179,Zambia,97,3,54
266,Canada,258,3,0
189,Australia,106,3,101
54,Ethiopia,130,3,58
304,Mainland China,190,3,183
310,US,57,4,0
230,Mainland China,1019,4,1015
250,France,460,4,235
104,Malta,463,4,339
228,Hong Kong,1037,4,830
180,Zimbabwe,32,4,5
109,Monaco,95,4,58
145,Sierra Leone,104,4,12
297,Australia,438,4,420
219,US,141,5,0
225,Mainland China,328,6,318
283,Australia,1033,6,943
198,Mainland China,579,6,573
223,Mainland China,168,6,162
246,Canada,275,6,0
191,UK,111,6,48
290,Canada,383,6,0
185,Mainland China,991,6,985
160,Taiwan,429,6,311
69,Haiti,76,6,8
60,Georgia,517,6,178
26,Burma,150,6,27
37,Costa Rica,713,6,323
82,Jamaica,396,7,29
154,Sri Lanka,649,7,136
111,Montenegro,322,7,203
293,Mainland China,647,7,597
292,Mainland China,787,7,772
13,Barbados,80,7,39
164,Togo,109,7,64
66,Guinea,1351,7,313
316,US,545,7,0
165,Trinidad and Tobago,116,8,71
220,Mainland China,1588,8,1557
68,Guyana,78,8,18
314,Australia,551,8,507
84,Jordan,451,8,356
35,Congo (Brazzaville),207,8,19
11,Bahrain,2921,8,1455
89,Kyrgyzstan,729,8,437
182,US,355,9,0
173,Uzbekistan,2002,9,1096
127,Paraguay,239,9,102
49,El Salvador,377,9,106
142,Senegal,882,9,315
190,Mainland China,593,9,542
73,Iceland,1797,10,1656
174,Venezuela,331,10,142
132,Qatar,12564,10,1243
123,Oman,2274,10,364
106,Mauritius,332,10,306
10,Bahamas,80,11,23
301,Australia,219,12,144
87,Kosovo,510,12,93
218,France,149,12,82
296,Netherlands,75,13,33
43,Diamond Princess,712,13,645
226,Mainland China,939,13,587
299,US,2373,13,0
146,Singapore,15641,14,1188
247,France,175,14,83
81,Ivory Coast,1238,14,557
40,Cyprus,843,15,148
91,Latvia,849,15,348
172,Uruguay,630,15,412
86,Kenya,384,15,129
93,Liberia,141,16,45
161,Tanzania,480,16,167
65,Guatemala,557,16,62
62,Ghana,1671,16,188
255,US,451,16,0
224,US,613,16,0
309,Australia,1361,18,1291
269,US,1033,19,0
117,New Zealand,1476,19,1241
236,UK,313,21,258
227,Mainland China,1276,22,1254
147,Slovakia,1391,22,484
9,Azerbaijan,1766,23,1267
88,Kuwait,3740,24,1389
92,Lebanon,721,24,150
85,Kazakhstan,3138,25,819
103,Mali,482,25,129
149,Somalia,582,28,20
273,Canada,935,28,0
155,Sudan,375,28,32
36,Congo (Kinshasa),491,30,59
1,Albania,766,30,455
7,Armenia,1932,30,900
119,Niger,713,32,435
197,UK,537,38,386
313,US,1110,38,0
166,Tunisia,980,40,294
264,Australia,3016,40,2284
139,San Marino,563,41,69
3,Andorra,743,42,423
25,Burkina Faso,641,43,498
96,Lithuania,1375,45,563
307,US,4497,45,0
308,US,862,47,0
52,Estonia,1666,50,236
120,Nigeria,1728,51,307
245,US,1056,52,0
162,Thailand,2947,54,2665
257,US,3851,56,0
187,US,3193,57,0
39,Cuba,1467,58,617
19,Bolivia,1110,59,117
231,US,1952,60,0
261,US,2058,60,0
0,Afghanistan,1939,60,252
30,Cameroon,1832,61,934
24,Bulgaria,1447,64,243
20,Bosnia and Herzegovina,1677,65,710
71,Honduras,738,66,73
38,Croatia,2062,67,1288
121,North Macedonia,1442,73,627
14,Belarus,13181,84,2072
280,US,1433,86,0
183,Canada,5165,87,0
97,Luxembourg,3769,89,3134
148,Slovenia,1418,89,230
77,Iraq,2003,92,1346
171,United Arab Emirates,11929,98,2329
101,Malaysia,5945,100,4087
277,US,2446,101,0
150,South Africa,5350,103,2073
193,Canada,2087,109,0
108,Moldova,3771,111,1114
263,US,3213,112,0
143,Serbia,6630,125,870
240,US,3839,134,0
63,Greece,2576,139,577
202,US,4655,144,0
235,US,6843,148,0
141,Saudi Arabia,21402,157,2953
12,Bangladesh,7103,163,150
112,Morocco,4321,168,928
125,Panama,6378,178,527
302,US,10366,195,0
205,US,4106,205,0
56,Finland,4906,206,2800
122,Norway,7710,207,32
275,US,3473,214,0
6,Argentina,4285,214,1192
79,Israel,15834,215,8233
33,Chile,14885,216,8057
41,Czech Republic,7579,227,3108
258,US,4934,230,0
298,US,5882,231,0
241,US,4537,234,0
151,South Korea,10765,247,9059
253,US,6569,250,0
170,Ukraine,9866,250,1103
287,US,8247,251,0
181,US,6912,256,0
34,Colombia,6207,278,1411
46,Dominican Republic,6652,293,1228
72,Hungary,2727,300,536
186,US,7209,308,0
315,US,6520,308,0
252,US,4644,319,0
254,US,7660,338,0
124,Pakistan,15525,343,3425
48,Egypt,5268,380,1335
268,US,10180,382,0
83,Japan,13895,413,2368
42,Denmark,9008,443,6366
2,Algeria,3848,444,1702
311,US,14962,522,0
129,Philippines,8212,558,1023
8,Austria,15402,580,12779
130,Poland,12640,624,3025
